11750	-1.3936E+05
11800	-1.3936E+05
11850	-1.3937E+05
11900	-1.3939E+05
11950	-1.3940E+05
12000	-1.3941E+05
12050	-1.3942E+05
12100	-1.3943E+05
12150	-1.3943E+05
12200	-1.3944E+05
12250	-1.3945E+05
12300	-1.3945E+05
12350	-1.3946E+05
12400	-1.3946E+05
12450	-1.3947E+05
12500	-1.3948E+05
12550	-1.3949E+05
12600	-1.3949E+05
12650	-1.3950E+05
12700	-1.3950E+05
12750	-1.3950E+05
12800	-1.3951E+05
12850	-1.3951E+05
12900	-1.3952E+05
12950	-1.3952E+05
13000	-1.3953E+05
13050	-1.3953E+05
13100	-1.3954E+05
13150	-1.3954E+05
13200	-1.3955E+05
13250	-1.3955E+05
13300	-1.3955E+05
13350	-1.3956E+05
13400	-1.3956E+05
13450	-1.3956E+05
13500	-1.3957E+05
13550	-1.3957E+05
13600	-1.3957E+05
13650	-1.3958E+05
13700	-1.3959E+05
13750	-1.3959E+05
13800	-1.3960E+05
13850	-1.3960E+05
13900	-1.3961E+05
13950	-1.3962E+05
14000	-1.3962E+05
14050	-1.3963E+05
14100	-1.3963E+05
14150	-1.3964E+05
14200	-1.3965E+05
14250	-1.3965E+05
14300	-1.3965E+05
14350	-1.3966E+05
14400	-1.3966E+05
14450	-1.3966E+05
14500	-1.3967E+05
14550	-1.3967E+05
14600	-1.3967E+05
14650	-1.3968E+05
14700	-1.3968E+05
14750	-1.3969E+05
14800	-1.3969E+05
14850	-1.3970E+05
14900	-1.3970E+05
14950	-1.3970E+05
15000	-1.3971E+05
15050	-1.3971E+05
15100	-1.3971E+05
15150	-1.3972E+05
15200	-1.3972E+05
15250	-1.3972E+05
15300	-1.3973E+05
15350	-1.3973E+05
15400	-1.3974E+05
15450	-1.3974E+05
15500	-1.3974E+05
15550	-1.3975E+05
15600	-1.3975E+05
15650	-1.3975E+05
15700	-1.3975E+05
15750	-1.3975E+05
15800	-1.3976E+05
15850	-1.3976E+05
15900	-1.3976E+05
15950	-1.3976E+05
16000	-1.3977E+05
16050	-1.3977E+05
16100	-1.3977E+05
16150	-1.3977E+05
16200	-1.3978E+05
16250	-1.3978E+05
16300	-1.3978E+05
16350	-1.3979E+05
16400	-1.3979E+05
16450	-1.3979E+05
16500	-1.3980E+05
16550	-1.3980E+05
16600	-1.3981E+05
16650	-1.3982E+05
16700	-1.3982E+05
16750	-1.3982E+05
16800	-1.3982E+05
16850	-1.3983E+05
16900	-1.3983E+05
16950	-1.3983E+05
17000	-1.3984E+05
17050	-1.3984E+05
17100	-1.3985E+05
17150	-1.3985E+05
17200	-1.3985E+05
17250	-1.3986E+05
17300	-1.3986E+05
17350	-1.3986E+05
17400	-1.3987E+05
17450	-1.3987E+05
17500	-1.3987E+05
17550	-1.3988E+05
17600	-1.3988E+05
17650	-1.3988E+05
17700	-1.3989E+05
17750	-1.3989E+05
17800	-1.3989E+05
17850	-1.3989E+05
17900	-1.3990E+05
17950	-1.3990E+05
18000	-1.3990E+05
18050	-1.3990E+05
18100	-1.3991E+05
18150	-1.3991E+05
18200	-1.3991E+05
18250	-1.3991E+05
18300	-1.3992E+05
18350	-1.3992E+05
18400	-1.3992E+05
